fk_parent,Manual_Level,Auto_Level,Blanks,English,Hanzi,Pinyin,2nd_Pinyin
-1,100,30,,USA,美国,měiguó,
-1,100,10,,China,中国,zhōngguó,
-1,100,24,,France,法国,fàguó,
-1,100,36,,Germany,德国,déguó,
-1,100,230,,Ireland,爱尔兰,ài'ěrlán,
-1,100,42,,Italy,意大利,yìdàlì,
-1,100,36,,Brazil,巴西,bāxī,
-1,100,200,,Egypt,埃及,āijí,
-1,100,48,,India,印度,yìndù,
-1,100,18,,Japan,日本,rìběn,
-1,100,54,,North Korea,北朝鲜,běi cháoxiǎn,
-1,100,200,,South Korea,韩国,hánguó,
-1,100,54,,Mexico,墨西哥,mòxīgē,
-1,100,242,,Russia,俄罗斯,èluósī,
-1,100,36,,Spain,西班牙,xībānyá,
-1,100,42,,Canada,加拿大,jiānádà,
-1,100,36,,United Kingdom,英国,yīngguó,
