fk_parent,Manual_Level,Auto_Level,Blanks,English,Hanzi,Pinyin,2nd_Pinyin
country_name.USA,100,30,,9525,9525,9525,
country_name.China,100,30,,9572,9572,9572,
country_name.France,100,20,,675,675,675,
country_name.Germany,100,20,,357,357,357,
country_name.Ireland,100,10,,71,71,71,
country_name.Italy,100,20,,301,301,301,
country_name.Brazil,100,30,,8515,8515,8515,
country_name.Egypt,100,30,,1001,1001,1001,
country_name.India,100,30,,3287,3287,3287,
country_name.Japan,100,20,,377,377,377,
country_name.North Korea,100,20,,120,120,120,
country_name.South Korea,100,10,,98,98,98,
country_name.Mexico,100,30,,1972,1972,1972,
country_name.Russia,100,40,,17098,17098,17098,
country_name.Spain,100,20,,504,504,504,
country_name.Canada,100,30,,9976,9976,9976,
country_name.United Kingdom,100,20,,243,243,243,
