fk_parent,Manual_Level,Auto_Level,Blanks,English,Hanzi,Pinyin,2nd_Pinyin
-1,4,40,,,爱情,àiqíng,
-1,4,40,,,安排,ānpái,
-1,4,40,,,安全,ānquán,
-1,4,40,,,按时,ànshí,
-1,4,40,,,按照,ànzhào,
-1,4,40,,,百分之,bǎifēnzhī,
-1,4,40,,,棒,bàng,
-1,4,40,,,包子,bāozi,
-1,4,40,,,保护,bǎohù,
-1,4,40,,,保证,bǎozhèng,
-1,4,40,,,报名,bào míng,
-1,4,40,,,抱,bào,
-1,4,40,,,抱歉,bàoqiàn,
-1,4,40,,,倍,bèi,
-1,4,40,,,本来,běnlái,
-1,4,40,,,笨,bèn,
-1,4,40,,,比如,bǐrú,
-1,4,40,,,毕业,bì yè,
-1,4,40,,,遍,biàn,
-1,4,40,,,标准,biāozhǔn,
-1,4,40,,,表格,biǎogé,
-1,4,40,,,表示,biǎoshì,
-1,4,40,,,表演,biǎoyǎn,
-1,4,40,,,表扬,biǎoyáng,
-1,4,40,,,饼干,bǐnggān,
-1,4,40,,,并且,bìngqiě,
-1,4,40,,,博士,bóshì,
-1,4,40,,,不得不,bù dé bù,
-1,4,40,,,不管,bùguǎn,
-1,4,40,,,不过,búguò,
-1,4,40,,,不仅,bùjǐn,
-1,4,40,,,部分,bùfen,
-1,4,40,,,擦,cā,
-1,4,40,,,猜,cāi,
-1,4,40,,,材料,cáiliào,
-1,4,40,,,参观,cānguān,
-1,4,40,,,餐厅,cāntīng,
-1,4,40,,,厕所,cèsuǒ,
-1,4,40,,,差不多,chàbuduō,
-1,4,40,,,长城,chángchéng,
-1,4,40,,,长江,Chángjiāng,
-1,4,40,,,尝,cháng,
-1,4,40,,,场,chǎng,
-1,4,40,,,超过,chāoguò,
-1,4,40,,,成功,chénggōng,
-1,4,40,,,成为,chéngwéi,
-1,4,40,,,诚实,chéngshí,
-1,4,40,,,乘坐,chéngzuò,
-1,4,40,,,吃惊,chī jīng,
-1,4,40,,,重新,chóngxīn,
-1,4,40,,,抽烟,chōuyān,
-1,4,40,,,出差,chū chāi,
-1,4,40,,,出发,chūfā,
-1,4,40,,,出生,chūshēng,
-1,4,40,,,出现,chūxiàn,
-1,4,40,,,厨房,chúfáng,
-1,4,40,,,传真,chuánzhēn,
-1,4,40,,,窗户,chuānghu,
-1,4,40,,,词语,cíyǔ,
-1,4,40,,,从来,cónglái,
-1,4,40,,,粗心,cūxīn,
-1,4,40,,,存,cún,
-1,4,40,,,错误,cuòwù,
-1,4,40,,,答案,dá'àn,
-1,4,40,,,打扮,dǎban,
-1,4,40,,,打扰,dǎrǎo,
-1,4,40,,,打印,dǎyìn,
-1,4,40,,,打招呼,dǎzhāohu,
-1,4,40,,,打折,dǎzhé,
-1,4,40,,,打针,dǎzhēn,
-1,4,40,,,大概,dàgài,
-1,4,40,,,大使馆,dàshǐguǎn,
-1,4,40,,,大约,dàyuē,
-1,4,40,,,大夫,dàifu,
-1,4,40,,,戴,dài,
-1,4,40,,,当,dāng,
-1,4,40,,,当时,dāngshí,
-1,4,40,,,刀,dāo,
-1,4,40,,,导游,dǎoyóu,
-1,4,40,,,到处,dàochù,
-1,4,40,,,到底,dào dǐ,
-1,4,40,,,倒,dǎo,dào
-1,4,40,,,道歉,dàoqiàn,
-1,4,40,,,得意,déyì,
-1,4,20,,,得,de,
-1,4,40,,,登机牌,dēngjīpái,
-1,4,20,,,等,děng,
-1,4,40,,,低,dī,
-1,4,40,,,底,dǐ,
-1,4,40,,,地点,dìdiǎn,
-1,4,40,,,地球,dìqiú,
-1,4,40,,,地址,dìzhǐ,
-1,4,40,,,调查,diàochá,
-1,4,40,,,掉,diào,
-1,4,40,,,丢,diū,
-1,4,40,,,动作,dòngzuò,
-1,4,40,,,堵车,dǔchē,
-1,4,40,,,肚子,dùzi,
-1,4,40,,,短信,duǎnxìn,
-1,4,40,,,对话,duìhuà,
-1,4,40,,,对面,duìmiàn,
-1,4,40,,,对于,duìyú,
-1,4,40,,,儿童,értóng,
-1,4,40,,,而,ér,
-1,4,40,,,发生,fāshēng,
-1,4,40,,,发展,fāzhǎn,
-1,4,40,,,法律,fǎlǜ,
-1,4,40,,,翻译,fānyì,
-1,4,40,,,烦恼,fánnǎo,
-1,4,40,,,反对,fǎnduì,
-1,4,40,,,方法,fāngfǎ,
-1,4,40,,,方面,fāngmiàn,
-1,4,40,,,方向,fāngxiàng,
-1,4,40,,,房东,fángdōng,
-1,4,40,,,放弃,fàngqì,
-1,4,40,,,放暑假,fàng shǔjià,
-1,4,40,,,放松,fàngsōng,
-1,4,40,,,份,fèn,
-1,4,40,,,丰富,fēngfù,
-1,4,40,,,否则,fǒuzé,
-1,4,40,,,符合,fúhé,
-1,4,40,,,父亲,fùqin,
-1,4,40,,,付款,fù kuǎn,
-1,4,40,,,负责,fùzé,
-1,4,40,,,复印,fùyìn,
-1,4,40,,,复杂,fùzá,
-1,4,40,,,富,fù,
-1,4,40,,,改变,gǎibiàn,
-1,4,40,,,干杯,gān bēi,
-1,4,40,,,赶,gǎn,
-1,4,40,,,敢,gǎn,
-1,4,40,,,感动,gǎndòng,
-1,4,40,,,感觉,gǎnjué,
-1,4,40,,,感情,gǎnqíng,
-1,4,40,,,感谢,gǎnxiè,
-1,4,40,,,干,gān,
-1,4,40,,,刚,gāng,
-1,4,40,,,高速公路,gāosù gōnglù,
-1,4,40,,,胳膊,gēbo,
-1,4,40,,,各,gè,
-1,4,40,,,工资,gōngzī,
-1,4,40,,,公里,gōnglǐ,
-1,4,40,,,功夫,gōngfu,
-1,4,40,,,共同,gòngtóng,
-1,4,40,,,购物,gòuwù,
-1,4,40,,,够,gòu,
-1,4,40,,,估计,gūjì,
-1,4,40,,,鼓励,gǔlì,
-1,4,40,,,故意,gùyì,
-1,4,40,,,顾客,gùkè,
-1,4,40,,,挂,guà,
-1,4,40,,,关键,guānjiàn,
-1,4,40,,,观众,guānzhòng,
-1,4,40,,,管理,guǎnlǐ,
-1,4,40,,,光,guāng,
-1,4,40,,,广播,guǎngbō,
-1,4,40,,,广告,guǎnggào,
-1,4,40,,,逛,guàng,
-1,4,40,,,规定,guīdìng,
-1,4,40,,,国籍,guójí,
-1,4,40,,,国际,guójì,
-1,4,40,,,果汁,guǒzhī,
-1,4,40,,,过程,guòchéng,
-1,4,40,,,海洋,hǎiyáng,
-1,4,40,,,害羞,hài xiū,
-1,4,40,,,寒假,hánjià,
-1,4,40,,,汗,hàn,
-1,4,40,,,航班,hángbān,
-1,4,40,,,好处,hǎochu,
-1,4,40,,,好像,hǎoxiàng,
-1,4,40,,,号码,hàomǎ,
-1,4,40,,,合格,hégé,
-1,4,40,,,合适,héshì,
-1,4,40,,,盒子,hézi,
-1,4,40,,,后悔,hòuhuǐ,
-1,4,40,,,厚,hòu,
-1,4,40,,,互联网,Hùliánwǎng,
-1,4,40,,,互相,hùxiāng,
-1,4,40,,,护士,hùshi,
-1,4,40,,,怀疑,huáiyí,
-1,4,40,,,回忆,huíyì,
-1,4,40,,,活动,huódòng,
-1,4,40,,,活泼,huópo,
-1,4,40,,,火,huǒ,
-1,4,40,,,获得,huòdé,
-1,4,40,,,积极,jījí,
-1,4,40,,,积累,jīlěi,
-1,4,40,,,基础,jīchǔ,
-1,4,40,,,激动,jīdòng,
-1,4,40,,,及时,jíshí,
-1,4,40,,,即使,jíshǐ,
-1,4,40,,,计划,jìhuà,
-1,4,40,,,记者,jìzhě,
-1,4,40,,,技术,jìshù,
-1,4,40,,,既然,jìrán,
-1,4,40,,,继续,jìxù,
-1,4,40,,,寄,jì,
-1,4,40,,,加班,jiā bān,
-1,4,40,,,加油站,jiāyóuzhàn,
-1,4,40,,,家具,jiājù,
-1,4,40,,,假,jiǎ,jià
-1,4,40,,,价格,jiàgé,
-1,4,40,,,坚持,jiānchí,
-1,4,40,,,减肥,jiǎnféi,
-1,4,40,,,减少,jiǎnshǎo,
-1,4,40,,,建议,jiànyì,
-1,4,40,,,将来,jiānglái,
-1,4,40,,,奖金,jiǎngjīn,
-1,4,40,,,降低,jiàngdī,
-1,4,40,,,降落,jiàngluò,
-1,4,40,,,交,jiāo,
-1,4,40,,,交流,jiāoliú,
-1,4,40,,,交通,jiāotōng,
-1,4,40,,,郊区,jiāoqū,
-1,4,40,,,骄傲,jiāo'ào,
-1,4,40,,,饺子,jiǎozi,
-1,4,40,,,教授,jiàoshòu,
-1,4,40,,,教育,jiàoyù,
-1,4,40,,,接受,jiēshòu,
